"hhid","dist_road2","dist_popcenter2","dist_market","dist_border2","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2018_tot","h2018_wetQ","h2018_wetQstart","qstartavg","ndvi_avg","ndvi_max","h2018_ndvi_avg","h2018_ndvi_max","lat_dd_mod","lon_dd_mod"
110130,11.6,24.3,41.1,30.6,24.3,273,258,2002,306,873,3190,59,313,2,40,13,2,2,1,1,1,1,1,1676,796,17,1944,1013,13,25,0.343,0.412,0.363,0.402,5.90239078833,7.88108495188
110131,2.9,16.4,21.3,89.1,16.4,275,263,1965,297,847,152,56,313,2,70,13,2,2,1,1,1,1,1,1602,773,16,1624,765,13,25,0.298,0.375,0.268,0.333,6.29112587931,8.24412304517
110132,2.9,16.4,21.3,89.1,16.4,275,263,1965,297,847,152,56,313,2,70,13,2,2,1,1,1,1,1,1602,773,16,1624,765,13,25,0.298,0.375,0.268,0.333,6.29112587931,8.24412304517
110133,2.9,16.4,21.3,89.1,16.4,275,263,1965,297,847,152,56,313,2,70,13,2,2,1,1,1,1,1,1602,773,16,1624,765,13,25,0.298,0.375,0.268,0.333,6.29112587931,8.24412304517
110134,2.9,16.4,21.3,89.1,16.4,275,263,1965,297,847,152,56,313,2,70,13,2,2,1,1,1,1,1,1602,773,16,1624,765,13,25,0.298,0.375,0.268,0.333,6.29112587931,8.24412304517
110135,2.9,16.4,21.3,89.1,16.4,275,263,1965,297,847,152,56,313,2,70,13,2,2,1,1,1,1,1,1602,773,16,1624,765,13,25,0.298,0.375,0.268,0.333,6.29112587931,8.24412304517
110136,2.9,16.4,21.3,89.1,16.4,275,263,1965,297,847,152,56,313,2,70,13,2,2,1,1,1,1,1,1602,773,16,1624,765,13,25,0.298,0.375,0.268,0.333,6.29112587931,8.24412304517
110137,2.9,16.4,21.3,89.1,16.4,275,263,1965,297,847,152,56,313,2,70,13,2,2,1,1,1,1,1,1602,773,16,1624,765,13,25,0.298,0.375,0.268,0.333,6.29112587931,8.24412304517
110138,2.9,16.4,21.3,89.1,16.4,275,263,1965,297,847,152,56,313,2,70,13,2,2,1,1,1,1,1,1602,773,16,1624,765,13,25,0.298,0.375,0.268,0.333,6.29112587931,8.24412304517
110139,2.9,16.4,21.3,89.1,16.4,275,263,1965,297,847,152,56,313,2,70,13,2,2,1,1,1,1,1,1602,773,16,1624,765,13,25,0.298,0.375,0.268,0.333,6.29112587931,8.24412304517
110140,2.9,16.4,21.3,89.1,16.4,275,263,1965,297,847,152,56,313,2,70,13,2,2,1,1,1,1,1,1602,773,16,1624,765,13,25,0.298,0.375,0.268,0.333,6.29112587931,8.24412304517
119001,14.9,17,16.5,68.4,17,274,262,1796,286,781,104,64,313,2,72,14,2,2,1,1,1,1,1,1439,707,17,1420,668,13,24,0.269,0.34,0.265,0.354,6.54013964079,8.11283774735
119002,14.9,17,16.5,68.4,17,274,262,1796,286,781,104,64,313,2,72,14,2,2,1,1,1,1,1,1439,707,17,1420,668,13,24,0.269,0.34,0.265,0.354,6.54013964079,8.11283774735
119003,14.9,17,16.5,68.4,17,274,262,1796,286,781,104,64,313,2,72,14,2,2,1,1,1,1,1,1439,707,17,1420,668,13,24,0.269,0.34,0.265,0.354,6.54013964079,8.11283774735
119005,14.9,17,16.5,68.4,17,274,262,1796,286,781,104,64,313,2,72,14,2,2,1,1,1,1,1,1439,707,17,1420,668,13,24,0.269,0.34,0.265,0.354,6.54013964079,8.11283774735
119006,14.9,17,16.5,68.4,17,274,262,1796,286,781,104,64,313,2,72,14,2,2,1,1,1,1,1,1439,707,17,1420,668,13,24,0.269,0.34,0.265,0.354,6.54013964079,8.11283774735
119008,14.9,17,16.5,68.4,17,274,262,1796,286,781,104,64,313,2,72,14,2,2,1,1,1,1,1,1439,707,17,1420,668,13,24,0.269,0.34,0.265,0.354,6.54013964079,8.11283774735
119009,14.9,17,16.5,68.4,17,274,262,1796,286,781,104,64,313,2,72,14,2,2,1,1,1,1,1,1439,707,17,1420,668,13,24,0.269,0.34,0.265,0.354,6.54013964079,8.11283774735
119010,14.9,17,16.5,68.4,17,274,262,1796,286,781,104,64,313,2,72,14,2,2,1,1,1,1,1,1439,707,17,1420,668,13,24,0.269,0.34,0.265,0.354,6.54013964079,8.11283774735
119011,14.9,17,16.5,68.4,17,274,262,1796,286,781,104,64,313,2,72,14,2,2,1,1,1,1,1,1439,707,17,1420,668,13,24,0.269,0.34,0.265,0.354,6.54013964079,8.11283774735
119012,14.9,17,16.5,68.4,17,274,262,1796,286,781,104,64,313,2,72,14,2,2,1,1,1,1,1,1439,707,17,1420,668,13,24,0.269,0.34,0.265,0.354,6.54013964079,8.11283774735
119013,2.2,19.2,18.5,45.4,19.2,276,261,1877,289,806,301,63,313,2,59,13,2,2,1,1,1,1,1,1521,748,17,1640,758,13,25,0.268,0.339,0.278,0.346,6.38160450396,8.07950672194
119014,2.2,19.2,18.5,45.4,19.2,276,261,1877,289,806,301,63,313,2,59,13,2,2,1,1,1,1,1,1521,748,17,1640,758,13,25,0.268,0.339,0.278,0.346,6.38160450396,8.07950672194
119015,2.2,19.2,18.5,45.4,19.2,276,261,1877,289,806,301,63,313,2,59,13,2,2,1,1,1,1,1,1521,748,17,1640,758,13,25,0.268,0.339,0.278,0.346,6.38160450396,8.07950672194
119016,2.2,19.2,18.5,45.4,19.2,276,261,1877,289,806,301,63,313,2,59,13,2,2,1,1,1,1,1,1521,748,17,1640,758,13,25,0.268,0.339,0.278,0.346,6.38160450396,8.07950672194
119017,2.2,19.2,18.5,45.4,19.2,276,261,1877,289,806,301,63,313,2,59,13,2,2,1,1,1,1,1,1521,748,17,1640,758,13,25,0.268,0.339,0.278,0.346,6.38160450396,8.07950672194
119019,2.2,19.2,18.5,45.4,19.2,276,261,1877,289,806,301,63,313,2,59,13,2,2,1,1,1,1,1,1521,748,17,1640,758,13,25,0.268,0.339,0.278,0.346,6.38160450396,8.07950672194
119020,2.2,19.2,18.5,45.4,19.2,276,261,1877,289,806,301,63,313,2,59,13,2,2,1,1,1,1,1,1521,748,17,1640,758,13,25,0.268,0.339,0.278,0.346,6.38160450396,8.07950672194
119021,2.2,19.2,18.5,45.4,19.2,276,261,1877,289,806,301,63,313,2,59,13,2,2,1,1,1,1,1,1521,748,17,1640,758,13,25,0.268,0.339,0.278,0.346,6.38160450396,8.07950672194
119022,2.2,19.2,18.5,45.4,19.2,276,261,1877,289,806,301,63,313,2,59,13,2,2,1,1,1,1,1,1521,748,17,1640,758,13,25,0.268,0.339,0.278,0.346,6.38160450396,8.07950672194
119023,2.2,19.2,18.5,45.4,19.2,276,261,1877,289,806,301,63,313,2,59,13,2,2,1,1,1,1,1,1521,748,17,1640,758,13,25,0.268,0.339,0.278,0.346,6.38160450396,8.07950672194
